MD-MVM Id,Survey station,Latitude,Longitude,County,Municipality,MS_CD C3,Sample date,Sample year,Sample month,Sample day,SeasonType,Season,Max sample depth (m),TOC (mg/l C),DOC (mg/l C),Abs_F 254 (/5cm),Turb_FNU (FNU),C_phyll (µg/l),pH,Cond_25 (mS/m),Alk/Acid (mekv/l),Ca (mekv/l),Mg (mekv/l),Na (mekv/l),K (mekv/l),SO4 (mekv/l),Cl (mekv/l),F (mekv/l),NH4-N (µg/l N),NO2+NO3-N (µg/l N),PO4-P (µg/l P),Tot-P (µg/l P),Si (mg/l),Fe (µg/l),Al (µg/l),Al_s (µg/l),Oxygen (mg/l O2),Secchi depth (m),Secchi depth binoculars (m),Secchi depth no binoculars (m),Water temp (°C),Tot-N (µg/l N),Abs_F 420 (/m),SUVA_254 (m*l/mg),Organic N (µg/l N),Inorganic N (µg/l N),TOC:TON (mol/l),Organic P (µg/l P),Inorganic P (µg/l P),TOC:TOP (mol/l)
54,Spjutsjön,60.63879256520678,15.44527638804651,Dalarnas län,Falun,WA42559716,2001-03-28,2001,3,28,1,1,0.5,5.3,,,,0.9,6.22,3.58,0.078,0.145,0.069,0.084,0.015,0.131,0.042,0.0089,62.0,146.0,1.0,8.0,2.27,40.0,,85.0,,5.5,,,0.6,409.0,1.06,,201.0,208.0,61.513264582093285,7.0,1.0,7809.079772113659
54,Spjutsjön,60.63879256520678,15.44527638804651,Dalarnas län,Falun,WA42559716,2001-05-21,2001,5,21,1,2,0.5,4.1,,,,1.5,6.3,2.94,0.061,0.129,0.062,0.065,0.011,0.111,0.031,0.0079,9.0,95.0,1.0,5.0,1.62,43.0,,80.0,,7.6,,,10.2,360.0,1.02,,256.0,104.0,37.362235658979266,4.0,1.0,10571.725917908581
54,Spjutsjön,60.63879256520678,15.44527638804651,Dalarnas län,Falun,WA42559716,2001-08-22,2001,8,22,1,3,0.5,8.5,,,,2.1,6.82,2.95,0.075,0.133,0.065,0.066,0.011,0.116,0.03,0.0089,8.0,2.0,1.0,5.0,1.73,19.0,,45.0,,6.0,,,18.6,195.0,0.5800000000000001,,185.0,10.0,107.18553038093462,4.0,1.0,21916.99275663975
54,Spjutsjön,60.63879256520678,15.44527638804651,Dalarnas län,Falun,WA42559716,2001-10-15,2001,10,15,1,4,0.5,4.3,,,,2.4,6.37,3.01,0.075,0.129,0.063,0.064,0.011,0.108,0.029,0.0079,9.0,21.0,2.0,8.0,1.72,41.0,,50.0,,7.0,,,10.3,383.0,0.7000000000000001,,353.0,30.0,28.417293590412754,6.0,2.0,7391.613243415757
54,Spjutsjön,60.63879256520678,15.44527638804651,Dalarnas län,Falun,WA42559716,2002-02-26,2002,2,26,1,1,0.5,4.8,,,,1.0,6.42,3.33,0.075,0.135,0.064,0.075,0.014,0.118,0.038,0.0079,40.0,142.0,1.0,8.0,1.89,36.0,,55.0,,,,,1.5,385.0,0.7000000000000001,,203.0,182.0,55.161258173439535,7.0,1.0,7072.37413323501
54,Spjutsjön,60.63879256520678,15.44527638804651,Dalarnas län,Falun,WA42559716,2002-05-15,2002,5,15,1,2,0.5,4.0,,,,1.1,6.52,2.92,0.079,0.125,0.061,0.066,0.013,0.111,0.029,0.0079,13.0,55.0,3.0,14.0,2.0,52.0,,70.0,,5.8,,,14.7,377.0,0.62,,309.0,68.0,30.19885493313977,11.0,3.0,3750.5014342912937
54,Spjutsjön,60.63879256520678,15.44527638804651,Dalarnas län,Falun,WA42559716,2002-08-14,2002,8,14,1,3,0.5,4.7,,,,2.6,6.79,2.93,0.084,0.127,0.055,0.064,0.01,0.105,0.027,0.0084,10.0,8.0,2.0,3.0,1.87,29.0,,45.0,,,,,22.3,200.0,0.5800000000000001,,182.0,18.0,60.244226674998465,1.0,2.0,48475.23103821497
54,Spjutsjön,60.63879256520678,15.44527638804651,Dalarnas län,Falun,WA42559716,2002-10-21,2002,10,21,1,4,0.5,3.9,,,,1.0,6.46,2.85,0.09,0.133,0.057,0.066,0.011,0.107,0.027,0.0089,15.0,22.0,2.0,5.0,1.62,54.0,,45.0,,7.6,,,6.8,219.0,0.76,,182.0,37.0,49.98989021967957,3.0,2.0,13408.042627591374
54,Spjutsjön,60.63879256520678,15.44527638804651,Dalarnas län,Falun,WA42559716,2003-02-25,2003,2,25,1,1,0.5,5.0,,,,0.5,6.42,3.54,0.109,0.159,0.069,0.089,0.016,0.126,0.038,0.0095,66.0,53.0,5.0,9.0,2.1,24.0,,35.0,,5.7,,,1.0,310.0,0.56,,191.0,119.0,61.06967391583893,4.0,5.0,12892.34868037632
54,Spjutsjön,60.63879256520678,15.44527638804651,Dalarnas län,Falun,WA42559716,2003-05-13,2003,5,13,1,2,0.5,3.6,,,,1.2,6.67,2.81,0.087,0.137,0.059,0.068,0.011,0.104,0.028,0.0068,14.0,45.0,2.0,4.0,1.21,34.0,,41.0,,9.0,,,10.3,248.0,0.52,,189.0,59.0,44.435457973048514,2.0,2.0,18564.982099741905
